1,0,2.5
1,5.9922e-15,2.5
1,5.3269e-15,2.5
1,4.9512e-15,2.5
1,2.9174e-15,2.5
1,1.1878e-14,2.5
1,2.5172e-14,2.5
1,-3.7688e-14,2.5
1,-1.4243e-13,2.5
1,2.7323e-13,2.5
1,1.0926e-12,2.5
1,-1.4526e-12,2.5
1,-7.7245e-12,2.5
1,6.3034e-12,2.5
1,5.2255e-11,2.5
1,-1.2901e-11,2.5
1,-3.2815e-10,2.5
1,-1.2246e-10,2.5
1,1.8545e-09,2.5
1,2.0337e-09,2.5
1,-8.889e-09,2.5
1,-1.8537e-08,2.5
1,3.1554e-08,2.5
1,1.2772e-07,2.5
1,-3.0698e-08,2.5
1,-6.6155e-07,2.5
1,-5.8336e-07,2.5
1,2.5193e-06,2.5
0.99999,6.3451e-06,2.5
1,-8.4414e-07,2.5
1,-2.3517e-05,2.5001
1,-1.3496e-05,2.5
0.99986,0.00017046,2.4995
0.99923,0.00091642,2.4972
0.99727,0.0032349,2.4904
0.99169,0.0097677,2.471
0.97642,0.027451,2.4183
0.94642,0.061283,2.3166
0.90557,0.10512,2.1822
0.85965,0.15136,2.0366
0.81248,0.19534,1.8931
0.76599,0.23514,1.7578
0.7209,0.26995,1.632
0.67781,0.30005,1.5172
0.63609,0.3251,1.4104
0.59607,0.34711,1.3128
0.5567,0.36339,1.2188
0.52429,0.3776,1.1477
0.49394,0.38366,1.0802
0.47166,0.39043,1.0329
0.44784,0.39349,0.98477
0.43067,0.39192,0.95301
0.42581,0.39353,0.94497
0.42501,0.39367,0.94033
0.42407,0.39269,0.94196
0.42152,0.38985,0.94207
0.41328,0.38261,0.93698
0.39678,0.36818,0.92801
0.37219,0.34516,0.91619
0.34136,0.31697,0.90414
0.30738,0.28529,0.89046
0.27874,0.25834,0.87702
0.26386,0.24485,0.87056
0.25985,0.2421,0.87274
0.26086,0.2435,0.87559
0.26302,0.24552,0.8784
0.2657,0.24916,0.88175
0.24344,0.20148,0.75647
0.19029,0.10007,0.50531
0.13531,0.012205,0.28157
0.12593,0.0010369,0.25276
0.12506,5.8407e-05,0.2502
0.12498,-1.3766e-05,0.24995
0.125,2.8499e-07,0.25
0.125,2.6153e-06,0.25001
0.125,-3.2023e-08,0.25
0.125,-2.9718e-07,0.25
0.125,4.32e-08,0.25
0.125,3.2117e-08,0.25
0.125,-8.2463e-09,0.25
0.125,-3.1264e-09,0.25
0.125,1.3908e-09,0.25
0.125,2.505e-10,0.25
0.125,-2.0378e-10,0.25
0.125,-1.2487e-11,0.25
0.125,2.7471e-11,0.25
0.125,-6.6656e-13,0.25
0.125,-3.5063e-12,0.25
0.125,3.5733e-13,0.25
0.125,4.2244e-13,0.25
0.125,-6.4279e-14,0.25
0.125,-4.0855e-14,0.25
0.125,1.7751e-14,0.25
0.125,1.0976e-14,0.25
0.125,4.6127e-15,0.25
0.125,5.5446e-15,0.25
0.125,6.6636e-15,0.25
0.125,5.7962e-15,0.25
0.125,6.1712e-15,0.25
0.125,0,0.25
